# If using '#' or the data(line) cannot be divided into 3, it wouldn't be included
# The valid data must consist of string divided into 3 without '#'

# Data : [start node] [end node] [weight(int, sec)] [(optional) two-way]
# Node : Building-Floor-Entity
# Entity : {room(only decimal), elevator(E prefixed),
#           stair(S), exit(X), hall way(H)}

# A (B) C D G H I J P R

외부-1-32 외부-1-37 22 t
외부-1-37 Q-3-X1 2 t
외부-1-37 G-4-X2 23 t
외부-1-33 외부-1-34 8 t
외부-1-34 외부-1-35 4 t
외부-1-34 Q-4-X1 2 t
외부-1-35 외부-1-36 8 t
외부-1-36 Q-4-X2 2 t
외부-1-35 외부-1-306 12 t
외부-1-305 외부-1-306 3 t
외부-1-38 외부-1-305 6 t
외부-1-38 외부-1-39 2 t
외부-1-38 Q-1-X2 4 t
Q-1-X2 Q-1-X1 4 t
외부-1-39 Q-1-X3 2 t
외부-1-306 Q-3-X4 2 t
외부-1-306 Q-3-X3 2 t
외부-1-310 G-2-X1 10 t
외부-1-310 G-2-X2 4 t
외부-1-310 Q-1-X1 9 t
Q-3-X1 Q-3-X1 2 t
외부-1-39 외부-1-40 5 t
외부-1-40 외부-1-41 18 t
외부-1-41 외부-1-43 26 t
외부-1-41 Q-B1-X1 20 t
외부-1-43 외부-1-45 7 t
외부-1-41 외부-1-42 36 t
외부-1-44 외부-1-45 26 t
외부-1-45 외부-1-47 8 t
외부-1-43 외부-1-50 38 t
외부-1-46 외부-1-48 33 t
외부-1-47 외부-1-48 6 t
외부-1-47 Z1-2-X1 2 t
외부-1-48 외부-1-49 10 t
외부-1-48 Z1-1-X1 2 t
외부-1-49 외부-1-51 46 t
외부-1-50 외부-1-55 34 t
외부-1-50 MH-1-X1 14 t
외부-1-51 외부-1-53 8 t
외부-1-51 외부-1-52 12 t
외부-1-52 Z-1-X2 2 t
외부-1-53 외부-1-54 6 t
외부-1-53 S-1-X1 2 t
외부-1-54 외부-1-75 29 t
외부-1-75 외부-1-77 10 t
외부-1-75 T-3-X1 4 t
외부-1-77 외부-1-78 5 t
외부-1-78 외부-1-79 10 t
외부-1-55 외부-1-56 12 t
외부-1-55 외부-1-58 18 t
외부-1-58 B-1-X3 6 t
외부-1-58 외부-1-59 12 t
외부-1-59 외부-1-60 1 t
외부-1-60 E-1-X1 1 t
외부-1-60 외부-1-61 12 t
외부-1-61 외부-1-62 15 t
외부-1-62 E-2-X2 1 t
외부-1-62 외부-1-63 4 t
외부-1-62 B-1-X1 4 t
외부-1-63 외부-1-64 1 t
외부-1-64 외부-1-65 4 t
외부-1-65 U-B2-X1 4 t
외부-1-65 외부-1-66 30 t
외부-1-66 외부-1-67 10 t
외부-1-67 F-4-X1 6 t
외부-1-67 U-2-X1 6 t
외부-1-66 F-3-X1 16 t
F-3-X1 F-2-X1 26 t
F-2-X1 Q-3-X2 6 t
Q-3-X3 Q-3-X2 2 t
외부-1-306 Q-3-X3 2 t
F-2-X2 E-3-X1 4 t
B-1-X1 B-1-X2 9 t
B-1-X2 외부-1-89 16 t
외부-1-89 외부-1-91 32 t
외부-1-89 외부-1-90 5 t
외부-1-90 C-6-X1 59 t
외부-1-91 C-3-X1 3 t
외부-1-91 외부-1-92 6 t
외부-1-92 외부-1-95 13 t
B-1-X3 외부-1-95 10 t
외부-1-95 외부-1-313 21 t
외부-1-313 C-3-X2 21 t
외부-1-313 외부-1-314 20 t
외부-1-314 C-3-X3 15 t
A-1-X2 외부-1-94 9 t
외부-1-93 외부-1-94 38 t
외부-1-93 A-1-X1 9 t
외부-1-57 외부-1-93 35 t
외부-1-56 외부-1-57 1 t
외부-1-68 외부-1-56 4 t
외부-1-68 Z1-2-X2 2 t
외부-1-68 외부-1-69 4 t
외부-1-69 Z1-1-X3 2 t
외부-1-69 외부-1-70 6 t
외부-1-52 외부-1-70 34 t
외부-1-52 Z1-1-X2 6 t
외부-1-93 Z2-5-X1 17 t
외부-1-94 외부-1-97 27 t
외부-1-97 외부-1-96 2 t
외부-1-97 C-1-X1 1 t
외부-1-97 C-3-X3 26 t
C-3-X4 외부-1-101 5 t
외부-1-102 외부-1-101 10 t
외부-1-102 외부-1-105 6 t
외부-1-102 외부-1-103 5 t
외부-1-103 D-2-E1 4 t
외부-1-105 외부-1-106 5 t
외부-1-106 D-2-S1 4 t
외부-1-105 외부-1-104 14 t
외부-1-104 C-1-X2 8 t
외부-1-104 외부-1-312 11 t
외부-1-96 외부-1-98 22 t
외부-1-96 Z2-2-X2 14 t
외부-1-57 외부-1-72 16 t
외부-1-71 외부-1-72 2 t
외부-1-71 S-3-X1 4 t
외부-1-72 외부-1-73 4 t
외부-1-73 외부-1-74 13 t
외부-1-74 외부-1-77 12 t
외부-1-74 Z2-4-X1 4 t
외부-1-75 외부-1-76 9 t
외부-1-76 외부-1-77 9 t
외부-1-76 T-5-X1 2 t
외부-1-77 외부-1-78 7 t
외부-1-78 외부-1-79 18 t
외부-1-79 Z2-1-X1 22 t
외부-1-79 외부-1-80 8 t
외부-1-80 X-1-X2 22 t
외부-1-80 Z3-1-X1 6 t
외부-1-80 외부-1-81 14 t
외부-1-81 외부-1-82 25 t
외부-1-82 외부-1-307 8 t
외부-1-82 외부-1-85 5 t
외부-1-82 외부-1-88 6 t
외부-1-82 X-B1-X2 11 t
외부-1-307 외부-1-308 9 t
외부-1-308 외부-1-86 4 t
외부-1-86 X-B1-X1 4 t
외부-1-86 외부-1-87 16 t
외부-1-81 외부-1-84 6 t
외부-1-84 외부-1-83 6 t
외부-1-83 X-1-X1 6 t
외부-1-84 외부-1-315 30 t
T-1-X1 외부-1-175 4 t
외부-1-175 외부-1-174 7 t
외부-1-174 외부-1-172 4 t
외부-1-172 Z3-1-X1 4 t
외부-1-172 T-1-X2 7 t
외부-1-172 외부-1-315 17 t
외부-1-98 외부-1-312 16 t
외부-1-99 외부-1-312 8 t
외부-1-99 외부-1-100 23 t
외부-1-100 외부-1-103 8 t
외부-1-99 D-1-S1 4 t
외부-1-103 D-1-S2 4 t

#A동
#수직적 연결
	#계단과 계단 연결
A-1-S1 A-2-S1 15
B-1-S1 A-2-S1 10
A-2-S1 B-1-S1 15
A-1-S1 A-2-S1 15
A-2-S1 A-1-S1 10
A-1-S2 A-2-S2 15
A-2-S2 A-1-S2 10
	#엘리베이터와 엘리베이터 연결
A-1-E1 A-2-E1 10 t
A-2-E1 B-1-E1 10 t
#수평적 연결
	#1층
A-1-X3 A-1-H1 2 t
A-1-H1 A-1-9 1 t
A-1-H1 A-1-H2 2 t
A-1-H2 A-1-8 2 t
A-1-H2 A-1-E2 2 t
A-1-H2 A-1-H3 4 t
A-1-H3 A-1-X1 4 t
A-1-H3 A-1-S1 1 t
A-1-H3 A-1-H4 6 t
A-1-H3 A-1-5 2 t
A-1-H4 A-1-4 2 t
A-1-H4 A-1-H5 8 t
A-1-H5 A-1-H6 4 t
A-1-H6 A-1-S2 2 t
A-1-H6 A-1-X2 1 t
A-1-H5 A-1-3 2 t
A-1-H5 A-1-1 8 t
	#2층
A-2-S1 A-2-H1 3 t
A-2-H1 A-2-E1 1 t
A-2-H1 A-2-9 2 t
A-2-H1 A-2-H2 2 t
A-2-H2 A-2-8 1 t
A-2-H2 A-2-H3 3 t
A-2-H3 A-2-7 1 t
A-2-H3 A-2-6 3 t
A-2-H3 A-2-5 5 t
A-2-H3 A-2-4 7 t
A-2-H3 A-2-H4 7 t
A-2-S2 A-2-H4 1 t
A-2-H4 A-2-3 5 t
A-2-H4 A-2-2 10 t
A-2-H4 A-2-1 13 t

#B동
	#수직
B-1-E1 B-2-E1 10 t
B-2-E1 B-3-E1 10 t
B-3-E1 B-4-E1 10 t
B-1-S1 B-2-S1 15
B-2-S1 B-3-S1 15
B-3-S1 B-4-S1 15
B-2-S1 B-1-S1 10
B-3-S1 B-2-S1 10
B-4-S1 B-3-S1 10
	#수평
	#1층
B-1-X1 B-1-H1 18 t
B-1-X2 B-1-H1 18 t
B-1-H1 B-1-E1 1 t
B-1-H1 B-1-S1 1 t
B-1-H1 B-1-S2 4 t
B-1-H1 B-1-1 6 t
B-1-H1 B-1-2 2 t
B-1-H1 B-1-3 2 t
B-1-H1 B-1-4 6 t
B-1-H1 B-1-5 10 t
B-1-S2 B-1-X3 5 t
	#2층
B-2-H1 B-2-E1 1 t
B-2-H1 B-2-S1 1 t
B-2-H1 B-2-1 8 t
B-2-H1 B-2-2 5 t
B-2-H1 B-2-3 2 t
B-2-H1 B-2-4 2 t
B-2-H1 B-2-5 5 t
B-2-H1 B-2-6 8 t
	#3층
B-3-H1 B-3-E1 1 t
B-3-H1 B-3-S1 1 t
B-3-H1 B-3-1 8 t
B-3-H1 B-3-2 5 t
B-3-H1 B-3-3 2 t
B-3-H1 B-3-4 2 t
B-3-H1 B-3-5 5 t
B-3-H1 B-3-6 8 t
	#4층
B-3-H1 B-3-E1 1 t
B-3-H1 B-3-S1 1 t
B-3-H1 B-3-1 8 t
B-3-H1 B-3-2 2 t
B-3-H1 B-3-3 5 t
B-3-H1 B-3-4 7 t

#C동 끝
#수직적 연결
	#계단과 계단 연결
C-B1-S1 C-1-S1 15
C-1-S1 C-B1-S1 10
C-1-S1 C-2-S1 15
C-2-S1 C-1-S1 10
C-2-S2 C-3-S2 15
C-3-S2 C-2-S2 10
C-3-S2 C-4-S2 15
C-4-S2 C-3-S2 10
C-4-S2 C-5-S2 15
C-5-S2 C-4-S2 10
C-5-S2 C-6-S2 15
C-6-S2 C-5-S2 10
C-6-S2 C-7-S2 15
C-7-S2 C-6-S2 10
C-7-S2 C-8-S2 15
C-8-S2 C-7-S2 10
C-8-S2 C-9-S2 15
C-9-S2 C-8-S2 10
C-2-S3 C-3-S3 15
C-3-S3 C-2-S3 10
C-3-S3 C-4-S3 15
C-4-S3 C-3-S3 10
C-4-S3 C-5-S3 15
C-5-S3 C-4-S3 10
C-5-S3 C-6-S3 15
C-6-S3 C-5-S3 10
C-6-S3 C-7-S3 15
C-7-S3 C-6-S3 10
C-3-S4 C-4-S4 15
C-4-S4 C-3-S4 10
C-4-S4 C-5-S4 15
C-5-S4 C-4-S4 10
C-5-S4 C-6-S4 15
C-6-S4 C-5-S4 10
C-6-S4 C-7-S4 15
C-7-S4 C-6-S4 10
C-7-S4 C-8-S4 15
C-8-S4 C-7-S4 10
C-8-S4 C-9-S4 15
C-9-S4 C-8-S4 10
C-3-S5 C-4-S5 15
C-4-S5 C-3-S5 10
C-4-S5 C-5-S5 15
C-5-S5 C-4-S5 10
C-5-S5 C-6-S5 15
C-6-S5 C-5-S5 10
C-6-S5 C-7-S5 15
C-7-S5 C-6-S5 10
C-7-S5 C-8-S5 15
C-8-S5 C-7-S5 10
C-8-S5 C-9-S5 15
C-9-S5 C-8-S5 10
C-4-S6 C-5-S6 15
C-5-S6 C-4-S6 10
C-5-S6 C-6-S6 15
C-6-S6 C-5-S6 10
C-6-S6 C-7-S6 15
C-7-S6 C-6-S6 10
C-7-S6 C-8-S6 15
C-8-S6 C-7-S6 10
C-8-S6 C-9-S6 15
C-9-S6 C-8-S6 10
	#엘리베이터와 엘리베이터 연결
#E1
C-1-E1 C-2-E1 10 t
C-2-E1 C-3-E1 10 t
C-3-E1 C-4-E1 10 t
C-4-E1 C-5-E1 10 t
C-5-E1 C-6-E1 10 t
C-6-E1 C-7-E1 10 t
C-7-E1 C-8-E1 10 t
#E2
C-1-E2 C-2-E2 10 t
C-2-E2 C-3-E2 10 t
C-3-E2 C-4-E2 10 t
C-4-E2 C-5-E2 10 t
C-5-E2 C-6-E2 10 t
C-6-E2 C-7-E2 10 t
C-7-E2 C-8-E2 10 t
#E4
C-3-E4 C-4-E4 10 t
C-4-E4 C-5-E4 10 t
C-5-E4 C-6-E4 10 t
C-6-E4 C-7-E4 10 t
C-7-E4 C-8-E4 10 t
C-8-E4 C-9-E4 10 t
#수평적 연결
	#지하 1층
C-B1-S1 C-B1-H1 4 t
C-B1-H1 C-B1-1 8 t
C-B1-H1 C-B1-3 4 t
	#1층
C-1-X1 C-1-H1 5 t
C-1-H1 C-1-H2 4 t
C-1-H2 C-1-H4 13 t
C-1-H4 C-1-H5 3 t
C-1-H5 C-1-E2 1 t
C-1-H2 C-1-S1 3 t
C-1-H2 C-1-X2 4 t
C-1-H1 C-1-H3 5 t
C-1-H3 C-1-E1 3 t
C-1-H1 C-1-1 3 t
C-1-H1 C-1-6 3 t
C-1-H2 C-1-2 3 t
C-1-H2 C-1-5 3 t
	#2층
C-2-H1 C-2-S1 5 t
C-2-H1 C-2-S2 5 t
C-2-H1 C-2-S3 5 t
C-2-H1 C-2-E1 5 t
C-2-H1 C-2-E2 5 t
C-2-H1 C-2-1 5 t
C-2-H1 C-2-2 5 t
C-2-H1 C-2-7 5 t
C-2-H1 C-2-8 5 t
C-2-H1 C-2-9 5 t
C-2-H1 C-2-10 5 t
C-2-H1 C-2-12 5 t
C-2-H1 C-2-14 5 t
C-2-H1 C-2-15 5 t
	#3층
C-3-H1 C-3-X1 12 t
C-3-H1 C-3-S5 11 t
C-3-H1 C-3-E4 10 t
C-3-H1 C-3-S4 8 t
C-3-H1 C-3-X2 10 t
C-3-H1 C-3-X3 20 t
C-3-H1 C-3-E2 18 t
C-3-H1 C-3-S3 10 t
C-3-H1 C-3-X4 16 t
C-3-H1 C-3-S2 30 t
C-3-H1 C-3-E1 38 t
C-3-H1 C-3-1 36 t
C-3-H1 C-3-2_1 29 t
C-3-H1 C-3-7 10 t
C-3-H1 C-3-8 9 t
C-3-H1 C-3-9 8 t
C-3-H1 C-3-10 7 t
C-3-H1 C-3-11 6 t
C-3-H1 C-3-12 2 t
C-3-H1 C-3-15_1 9 t
C-3-H1 C-3-15_2 11 t
C-3-H1 C-3-16_1 3 t
C-3-H1 C-3-16_2 5 t
C-3-H1 C-3-18 12 t
C-3-H1 C-3-19 16 t
C-3-H1 C-3-21 12 t
	#4층
C-4-H1 C-4-S5 11 t
C-4-H1 C-4-E4 10 t
C-4-H1 C-4-S4 8 t
C-4-H1 C-4-S3 10 t
C-4-H1 C-4-14 2 t
C-4-H1 C-4-10_2 2 t
C-4-H1 C-4-10_1 6 t
C-4-H1 C-4-13 9 t
C-4-H1 C-4-9_2 9 t
C-4-H1 C-4-9_1 11 t
C-4-H1 C-4-8 12 t
C-4-H1 C-4-7_3 12 t
C-4-H1 C-4-7_2 13 t
C-4-H1 C-4-7_1 14 t
C-4-H1 C-4-16 16 9 t
C-4-H1 C-4-17 21 t
C-4-H1 C-4-18 21 t
C-4-H1 C-4-S6 18 t
C-4-H1 C-4-19 16 t
C-4-H1 C-4-20 17 t
C-4-H1 C-4-22 17 t
C-4-H1 C-4-29 28 t
C-4-H1 C-4-S2 30 t
C-4-H1 C-4-30 31 t
C-4-H1 C-4-31 32 t
C-4-H1 C-4-E1 33 t
C-4-H1 C-4-1 33 t
C-4-H1 C-4-2 32 t
C-4-H1 C-4-3 29 t
C-4-H1 C-4-4 25 t
C-4-H1 C-4-E2 19 t
	#5층
C-5-H1 C-5-S6 18 t
C-5-H1 C-5-S5 11 t
C-5-H1 C-5-E4 10 t
C-5-H1 C-5-S4 8 t
C-5-H1 C-5-S3 10 t
C-5-H1 C-5-14 2 t
C-5-H1 C-5-19 2 t
C-5-H1 C-5-20 1 t
C-5-H1 C-5-15 5 t
C-5-H1 C-5-18 5 t
C-5-H1 C-5-17 7 t
C-5-H1 C-5-10 4 t
C-5-H1 C-5-21 6 t
C-5-H1 C-5-13 10 t
C-5-H1 C-5-9 6 t
C-5-H1 C-5-8 9 t
C-5-H1 C-5-7 11 t
C-5-H1 C-5-22 10 t
C-5-H1 C-5-6 13 t
C-5-H1 C-5-23_1 16 t
C-5-H1 C-5-23_2 18 t
C-5-H1 C-5-S2 30 t
C-5-H1 C-5-E1 33 t
C-5-H1 C-5-E2 19 t
C-5-H1 C-5-1 33 t
C-5-H1 C-5-2 31 t
C-5-H1 C-5-3 27 t
	#6층
C-6-H1 C-6-1_1 33 t
C-6-H1 C-6-1 29 t
C-6-H1 C-6-2_1 27 t
C-6-H1 C-6-2 25 t
C-6-H1 C-6-5 8 t
C-6-H1 C-6-6 6 t
C-6-H1 C-6-7 4 t
C-6-H1 C-6-8 2 t
C-6-H1 C-6-11 8 t
C-6-H1 C-6-12 2 t
C-6-H1 C-6-13 6 t
C-6-H1 C-6-14 8 t
C-6-H1 C-6-15 14 t
C-6-H1 C-6-17 8 t
C-6-H1 C-6-18 6 t
C-6-H1 C-6-19 4 t
C-6-H1 C-6-20 1 t
C-6-H1 C-6-21 4 t
C-6-H1 C-6-22 6 t
C-6-H1 C-6-23 9 t
C-6-H1 C-6-25 9 t
C-6-H1 C-6-27 12 t
C-6-H1 C-6-28 13 t
C-6-H1 C-6-29 14 t
C-6-H1 C-6-30 15 t
C-6-H1 C-6-21 16 t
C-6-H1 C-6-33 13 t
C-6-H1 C-6-S6 18 t
C-6-H1 C-6-S5 11 t
C-6-H1 C-6-S4 8 t
C-6-H1 C-6-S3 10 t
C-6-H1 C-6-S2 30 t
C-6-H1 C-6-E1 33 t
C-6-H1 C-6-E2 19 t
C-6-H1 C-6-E4 10 t
C-6-H1 C-6-X1 11 t
	#7층
C-7-H1 C-7-1 33 t
C-7-H1 C-7-2 29 t
C-7-H1 C-7-3 25 t
C-7-H1 C-7-7 8 t
C-7-H1 C-7-8 6 t
C-7-H1 C-7-9 4 t
C-7-H1 C-7-10 2 t
C-7-H1 C-7-13 8 t
C-7-H1 C-7-14 2 t
C-7-H1 C-7-15 6 t
C-7-H1 C-7-16 9 t
C-7-H1 C-7-17 3 t
C-7-H1 C-7-18 2 t
C-7-H1 C-7-19 4 t
C-7-H1 C-7-20 8 t
C-7-H1 C-7-21 9 t
C-7-H1 C-7-22 12 t
C-7-H1 C-7-S6 18 t
C-7-H1 C-7-S5 11 t
C-7-H1 C-7-S4 8 t
C-7-H1 C-7-S3 10 t
C-7-H1 C-7-S2 30 t
C-7-H1 C-7-E1 33 t
C-7-H1 C-7-E2 19 t
C-7-H1 C-7-E4 10 t
C-7-H1 C-7-X1 11 t
	#8층
C-8-H1 C-8-2 31 t
C-8-H1 C-8-3 29 t
C-8-H1 C-8-4_1 27 t
C-8-H1 C-8-4 21 t
C-8-H1 C-8-7 9 t
C-8-H1 C-8-8 6 t
C-8-H1 C-8-9 3 t
C-8-H1 C-8-10 1 t
C-8-H1 C-8-14 8 t
C-8-H1 C-8-16 5 t
C-8-H1 C-8-17 1 t
C-8-H1 C-8-18 3 t
C-8-H1 C-8-19 7 t
C-8-H1 C-8-20 11 t
C-8-H1 C-8-S6 18 t
C-8-H1 C-8-S5 11 t
C-8-H1 C-8-S4 8 t
C-8-H1 C-8-S2 30 t
C-8-H1 C-8-E1 33 t
C-8-H1 C-8-E2 19 t
C-8-H1 C-8-E4 10 t
	#9층
C-9-H1 C-9-1 1 t
C-9-H1 C-9-4 7 t
C-9-H1 C-9-5 9 t
C-9-H1 C-9-6_1 8 t
C-9-H1 C-9-6_2 6 t
C-9-H1 C-9-7_1 5 t
C-9-H1 C-9-7_2 2 t
C-9-H1 C-9-8 5 t
C-9-H1 C-9-9 8 t
C-9-H1 C-9-10 9 t
C-9-H1 C-9-11 11 t
C-9-H1 C-9-12 15 t
C-9-H1 C-9-E4 10 t
C-9-H1 C-9-S6 18 t
C-9-H1 C-9-S5 11 t
C-9-H1 C-9-S4 8 t
C-9-H1 C-9-S2 30 t
C-9-H1 C-9-E4 10 t

#D동
#수직적 연결
	#계단과 계단
D-1-S1 D-2-S1 15
D-2-S1 D-1-S1 10
D-B1-S1 D-1-S1 15
D-1-S1 D-B1-S1 10

D-B1-S2 D-1-S2 15
D-1-S2 D-B1-S2 10
D-B2-S2 D-B1-S2 15
D-B1-S2 D-2-S2 10
D-B3-S2 D-B2-S2 15
D-B2-S2 D-B3-S2 10

D-B1-S3 D-1-S3 15
D-1-S3 D-B1-S3 10
D-B2-S3 D-B1-S3 15
D-B1-S3 D-B2-S3 10
D-B3-S3 D-B2-S3 15
D-B2-S3 D-B3-S3 10
	#엘리베이터와 엘리베이터
D-2-E1 D-1-E1 10 t
D-1-E1 D-B1-E1 10 t
D-B1-E1 D-B2-E1 10 t
D-B2-E1 D-B3-E1 10 t
#수평적 연결
	#지하1층
D-B1-H1 D-B1-S1 4 t
D-B1-H1 D-B1-S2 6 t
D-B1-H1 D-B1-E1 4 t
D-B1-H1 D-B1-H2 3 t
D-B1-H1 D-B1-1 10 t

D-B1-H2 D-B1-2_1 12 t
D-B1-H2 D-B1-2_2 6 t
D-B1-H2 D-B1-3_1 3 t
D-B1-H2 D-B1-3_2 3 t
D-B1-H2 D-B1-4_1 4 t
D-B1-H2 D-B1-4_2 8 t
D-B1-H2 D-B1-5_1 12 t

D-B1-H2 D-B1-H3 16 t
D-B1-H3 D-B1-5_2 2 t
D-B1-H3 D-B1-S3 3 t
	#지하2층
D-B2-H1 D-B2-S2 6 t
D-B2-H1 D-B2-E1 4 t
D-B2-H1 D-B2-1 12 t
D-B2-H1 D-B2-2_1 12 t
D-B2-H1 D-B2-2_2 6 t
D-B2-H1 D-B2-2_3 3 t

D-B2-H1 D-B2-H2 4 t
D-B2-H2 D-B2-3_1 11 t
D-B2-H2 D-B2-3_2 9 t
D-B2-H2 D-B2-3_3 6 t
D-B2-H2 D-B2-3_4 3 t
D-B2-H2 D-B2-4_1 3 t
D-B2-H2 D-B2-4_2 5 t
D-B2-H2 D-B2-5 11 t

D-B2-H3 D-B2-H3 16 t
D-B2-H3 D-B2-6_1 3 t
	#지하3층
D-B3-H1 D-B3-S2 6 t
D-B3-H1 D-B3-E1 4 t
D-B3-H1 D-B3-1 12 t
D-B3-H1 D-B3-2_1 12 t
D-B3-H1 D-B3-2_2 6 t
D-B3-H1 D-B3-2_3 3 t

D-B3-H1 D-B3-H2 4 t
D-B3-H2 D-B3-3 8 t
D-B3-H2 D-B3-4 5 t
D-B3-H2 D-B3-5_1 3 t
D-B3-H2 D-B3-5_2 3 t
D-B3-H2 D-B3-6_1 5 t
D-B3-H2 D-B3-6_2 10 t
D-B3-H2 D-B3-7_1 12 t
D-B3-H2 D-B3-7_2 13 t
D-B3-H2 D-B3-8 14 t

D-B3-H2 D-B3-H3 16 t
D-B3-H3 D-B3-S3 3 t

#G동
#수직적 이동
	#계단과 계단
G-1-S1 G-2-S1 15
G-2-S1 G-1-S1 10
G-2-S1 G-3-S1 15
G-3-S1 G-2-S1 10
G-3-S1 G-4-S1 15
G-4-S1 G-3-S1 10
G-4-S1 G-5-S1 15
G-5-S1 G-4-S1 10
G-5-S1 G-6-S1 15
G-6-S1 G-5-S1 10

G-2-S2 G-3-S2 15
G-3-S2 G-2-S2 10
G-3-S2 G-4-S2 15
G-4-S2 G-3-S2 10
G-4-S2 G-5-S2 15
G-5-S2 G-4-S2 10
G-5-S2 G-6-S2 15
G-6-S2 G-5-S2 10

	#엘리베이터와 엘리베이터
#수평적 이동
	#1층
G-1-X1 G-1-H1 3 t
G-1-H1 G-1-S1 3 t
G-1-H1 G-1-3 6 t
G-1-H1 G-1-4 5 t
	#2층
G-2-S1 G-2-H1 3 t
G-2-H1 G-2-1 3 t
G-2-H1 G-2-3 3 t
G-2-H1 G-2-4 7 t
G-2-H1 G-2-5 10 t
G-2-H1 G-2-10 7 t
G-2-H1 G-2-6 13 t
G-2-H1 G-2-7 17 t
G-2-H1 G-2-8 13 t
G-2-H1 G-2-9 10 t

G-2-H1 G-2-H2 6 t
G-2-H2 G-2-X1 2 t
G-2-H2 G-2-S2 5 t
	#3층
G-3-S1 G-3-H1 3 t
G-3-H1 G-3-H2 3 t
G-3-H2 G-3-2 1 t
G-3-H2 G-3-3 5 t
G-3-H2 G-3-4 6 t
G-3-H2 G-3-19 6 t
G-3-H2 G-3-5 10 t
G-3-H2 G-3-18 10 t
G-3-H2 G-3-6 11 t
G-3-H2 G-3-17 11 t
G-3-H2 G-3-7 15 t
G-3-H2 G-3-16 15 t
G-3-H2 G-3-8 16 t
G-3-H2 G-3-15 16 t
G-3-H2 G-3-9 20 t
G-3-H2 G-3-14 20 t
G-3-H2 G-3-10 22 t
G-3-H2 G-3-11 26 t
G-3-H2 G-3-12 26 t
G-3-H2 G-3-13 24 t

G-3-H1 G-3-H3 3 t
G-3-H3 G-3-1 2 t
G-3-H3 G-3-20 4 t
G-3-H3 G-3-21 7 t
G-3-H3 G-3-24 7 t
G-3-H3 G-3-22 9 t
G-3-H3 G-3-H4 11 t
G-3-H4 G-3-23_6 1 t
G-3-H4 G-3-23_11 1 t
G-3-H4 G-3-23_7 3 t
G-3-H4 G-3-23_10 3 t
G-3-H4 G-3-23_8 5 t
G-3-H4 G-3-23_9 5 t
G-3-S2 G-3-H4 7 t
G-3-S2 G-3-H3 10 t
#4층
G-4-S1 G-4-H1 5 t
G-4-S1 G-4-H2 4 t
G-4-H2 G-4-H4 3 t
